herb,frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,eigenvector_centrality
高良姜,1,7,7,0.019337016574585635,0.00010452273366814913,0.0003687478972388842
儿茶,1,7,7,0.019337016574585635,2.7145105491351326e-05,0.00020558320699412517
五加皮,1,7,7,0.019337016574585635,3.894754552045929e-05,0.001721732662098354
紫草,1,7,7,0.019337016574585635,2.695196340357151e-05,0.002574014794998908
蜂蜡,1,7,7,0.019337016574585635,2.695196340357151e-05,0.002574014794998908
麻油,1,7,7,0.019337016574585635,2.695196340357151e-05,0.002574014794998908
芦根,2,3,6,0.008287292817679558,0.0,0.0004123584029271064
白及,1,6,6,0.016574585635359115,1.2620540574239446e-05,0.0010370280838813706
白蔹,1,6,6,0.016574585635359115,1.2620540574239446e-05,0.0010370280838813706
蜀漆,1,6,6,0.016574585635359115,0.0002438363335120242,0.004083803978069849
伏龙肝,1,6,6,0.016574585635359115,0.00015781763175621885,0.003627234436823154
胡粉,1,6,6,0.016574585635359115,1.8713209117215655e-05,0.00011499387717547164
苦楝皮,1,6,6,0.016574585635359115,1.8713209117215655e-05,0.00011499387717547164
鹤虱,1,6,6,0.016574585635359115,1.8713209117215655e-05,0.00011499387717547164
鸡子黄,2,5,5,0.013812154696132596,0.0001348787543398012,0.0016497646630073402
益智仁,2,4,5,0.011049723756906077,8.702350264309831e-06,0.0001751705461465612
酒,2,3,5,0.008287292817679558,4.884359531843907e-07,0.0007825837219107385
麋角,1,5,5,0.013812154696132596,1.9787341757031812e-05,0.0004888448765067196
罂粟壳,1,5,5,0.013812154696132596,1.6720340235742133e-05,0.0010497665562776428
樗白皮,1,5,5,0.013812154696132596,1.8881518188039496e-05,0.0013321334462493826
马兜铃,1,5,5,0.013812154696132596,0.0001292230322384929,0.002204777304871963
灯心草,1,5,5,0.013812154696132596,0.00011517412840647063,0.0032299381271461893
片姜黄,1,5,5,0.013812154696132596,0.00011163108815389264,0.0029686204281272133
